,Name,Academic (1),Affiliations
21521,li jun,0,zhongguo renmin yinhang
21522,matija japundžić,0, 
21523,naoto jinji,1,graduate school of economics kyoto university
21524,sung jae jun,1,department of economics pennsylvania state university
21525,alejandro jara,0,central bank of chile
21526,david carson jinkins,1,(95%) økonomiske institut copenhagen business school
21527,tackseung jun,1,department of economics kyung hee university
21528,mauricio jara bertin,1,faculty of economics and business university of chile
21529,zhang jinliang,0,center for energy and environmental policy research (ceep) beijing institute of technology
21530,p. (raja) n. junankar,1,(60%) industrial relations research center (irrc) unsw unsw business school (australia)
21531,jūratė jaraitė-kažukauskė,0,(50%) center for environmental and natural resources economics in umeå (cere)
21532,ryo jinnai,1,institute of economic research hitotsubashi university
21533,alexander c. jung,0,european central bank
21534,"alberto jaramillo, sr.",1,economic and financial research center (cief) school of economics and finance university eafit
21535,komain jiranyakul,1,school of development economics national institute of development administration
21536,benjamin jung,1,institute of economics faculty of economics and social sciences university of applied sciences
21537,fernando jaramillo,1,faculty of economics university of the rosary
21538,pornsit jiraporn,1,pennsylvania state university
21539,céline gisèle jung,0,center of economic and social studies of the environment (ceese) center emile bernheim solvay brussels
21540,miguel jaramillo,0,analysis group for development (grade)
21541,uwe jirjahn,1,university economics
21542,florian jung,1,research community for national economy school of economics and political science university st. bile
21543,patricio a. jaramillo gutierrez,0,world bank group
21544,thadavillil jithendranathan,1,finance department university of st. thomas
21545,hanjoon michael jung,1,"department of economics 
lahore university of management sciences"
21546,paula jaramillo,1,center of studies on economic development (cede) faculty of economics university of the andes
21547,boonlert jitmaneeroj,1,school of business university of the thai chamber of commerce
21548,hosung jung,1,institute of economic research hitotsubashi university
21549,daniel jaramillo calderon,0, 
21550,조갑제,1,keimyung university
21551,jae wook jung,0,korea institute for international economic policy (kiep)
21552,miguel jaramillo franco,1,academic department of economy university of the pacific
21553,seung-gyu jo,1,"school of economics 
singapore management university"
21554,juan jung,1,(34%) group of quantitative analysis regional applied research institute (irea) faculty of economics and business university of barcelona
21555,ainhoa jaramillo-gutiérrez,0,(47%) experimental economics laboratories (lee) universitet jaume i
21556,soojin jo,0,economic research department federal reserve bank of dallas
21557,juergen jung,1,department of economics towson university
21558,christian r. jaramillo h.,0,national statistical office (dane) government of colombia
21559,tae-hee jo,1,economics and finance department buffalo state college
21560,kuk mo jung,0,한양대 국제학부 (division of international studies)
21561,hernán jaramillo salazar,1,faculty of economics university of the rosary
21562,helene joachain,0,(50%) center for european research in microfinance (cermi)
21563,philip jung,1,"department of economics, university of mannheim"
21564,pedro daniel jara-moroni,1,department of economics faculty of administration and economy university of santiago de chile
21565,olivier joalland,0,environment
21566,robert jung,1,institute of economics faculty of economics and social sciences university of applied sciences
21567,lorenz jarass,1,university of applies science wiesbaden
21568,marcelin joanis,0,(50%) interuniversity research center in organizational analysis (cirano)
21569,seeun jung,1,division of economics inha university
21570,caroline jardet,0,bank of france
21571,belmiro do nascimento joão,1,faculty of economics and administration pontifical catholic university of são paulo
21572,taehyun jung,0,center for innovation
21573,mathieu jardin,0,department of economics sciences économiques sciences po
21574,mohammad abdul munim joarder,1,department of economics shahjalal university of science and technology
21575,toni jung,1,economics department university of california-davis
21576,carlos maria f-jardon,1,(88%) department of applied economics faculty of economics and business university of vigo
21577,mustapha jobarteh,0, 
21578,yeonjei jung,1,economics department michigan state university
21579,matthew steven jaremski,1,department of economics colgate university
21580,thomas jobert,0,law research group
21581,ansgar jüngel,0,center for finance and econometrics department economics universität konstanz
21582,felix jarman,1,"department of economics, university of mannheim"
21583,earl jobling,1,department of economics and finance la trobe business school la trobe university
21584,hendrik jungmann,0,regional economics apprenticeship paris-lodron universität salzburg
21585,ron s. jarmin,0,census bureau department of commerce government of the united states
21586,andreas a. jobst,0,(51%) world bank group
21587,juha pekka junttila,0,kauppakorkeakoulu jyväskylän yliopisto
21588,mariusz jarmuzek,0,international monetary fund (imf)
21589,clemens jobst,0,(95%) oesterreichische nationalbank
21590,artūras juodis,1,faculty of economics and business administration university of groningen
21591,elena jarocińska,0,case-center for social and economic research
21592,"axel jochem, sr.",0,german bundesbank
